obsid,label,pred,error,teff,logg,feh,snru,snrg,snrr,rv,z
283213237.0,2.5,3.05,0.5499999999999998,5355.44,4.22,0.621,5.61,86.41,130.9,13.14,4.3799999999999994e-05
136008128.0,1.9,2.45,0.5500000000000003,5368.78,4.606,0.26,0.98,16.17,33.3,-7.04,-2.35e-05
500504007.0,2.5,1.95,-0.55,5520.36,4.61,0.037000000000000005,2.55,22.47,30.23,-13.0,-4.34e-05
253909231.0,0.2,0.75,0.55,7427.18,3.955,-0.039,9.41,71.22,188.93,-12.8,-4.270000000000001e-05
61414181.0,1.9,2.45,0.5500000000000003,5488.3,4.428,-0.34600000000000003,1.59,17.73,34.76,-2.12,-7.07e-06
526610130.0,0.6,1.15,0.5499999999999999,8214.12,3.9189999999999996,-0.305,21.9,93.48,117.63,14.12,4.71e-05
470316047.0,1.0,0.45,-0.55,7506.74,4.198,-0.174,1.79,19.51,46.09,-8.92,-2.98e-05
485207179.0,1.2,1.74,0.54,5988.42,4.106,-0.42700000000000005,9.79,45.52,62.93,0.78,2.6e-06
96115155.0,2.7,2.16,-0.54,5466.48,4.518,-0.332,2.79,17.17,29.18,-8.32,-2.78e-05
191613211.0,2.5,3.04,0.54,5047.73,3.197,-0.253,2.26,24.49,35.0,13.45,4.49e-05
66404087.0,1.0,1.54,0.54,6844.24,4.217,-0.732,3.27,10.04,14.79,-2.53,-8.44e-06
129303022.0,1.9,2.44,0.54,5549.55,4.263,0.19399999999999998,4.99,27.58,42.77,5.43,1.8100000000000003e-05
81513039.0,2.7,2.16,-0.54,5639.58,4.619,-0.375,2.33,26.14,47.62,8.96,2.99e-05
2715233.0,1.2,1.74,0.54,6248.08,4.127,-0.251,1.6,8.34,14.63,10.66,3.5600000000000005e-05
470012069.0,1.2,1.73,0.53,6019.24,4.064,-0.35100000000000003,20.64,85.83,110.94,-8.63,-2.8800000000000002e-05
218311080.0,1.2,1.73,0.53,6285.27,4.396,-0.10300000000000001,4.41,23.64,42.53,11.15,3.72e-05
293014168.0,1.2,1.73,0.53,6109.03,4.284,-0.225,10.76,52.4,88.42,4.94,1.65e-05
8514048.0,1.0,1.53,0.53,6192.99,3.9560000000000004,-0.629,0.61,7.7,15.11,6.71,2.24e-05
214310142.0,2.7,2.17,-0.5300000000000002,5685.31,4.668,-0.008,2.84,19.8,28.54,11.16,3.72e-05
67408050.0,1.9,2.43,0.5300000000000002,5525.85,4.0680000000000005,0.389,2.1,27.81,48.63,-2.66,-8.87e-06
368813216.0,1.6,1.07,-0.53,6371.52,4.09,-0.423,0.54,8.45,19.6,-11.35,-3.79e-05
343803181.0,1.2,1.73,0.53,6148.35,4.309,-0.028999999999999998,45.92,183.51,253.0,1.38,4.6e-06
227616029.0,1.2,1.73,0.53,5990.02,4.032,-0.34,15.82,71.12,96.93,6.8,2.27e-05
46213054.0,1.5,2.02,0.52,6554.25,4.586,-0.263,0.66,7.29,13.45,-3.23,-1.0800000000000002e-05
195110071.0,2.0,1.48,-0.52,5887.63,3.609,-0.06,11.07,46.37,69.42,11.16,3.72e-05
339210234.0,3.1,2.58,-0.52,4938.18,3.6630000000000003,-0.075,8.8,73.52,142.28,6.76,2.25e-05
94811091.0,1.2,1.72,0.52,6104.89,4.211,-0.17,2.94,15.27,27.39,14.46,4.8200000000000006e-05
469413097.0,1.9,2.42,0.52,5526.36,4.199,-0.16,2.45,25.18,55.97,8.76,2.9199999999999998e-05
37016005.0,1.5,0.98,-0.52,6570.6,4.138999999999999,0.025,9.96,46.41,31.84,-9.38,-3.13e-05
229916235.0,2.7,2.18,-0.52,5340.08,4.632,-0.305,0.9,12.0,20.3,6.92,2.3100000000000002e-05
281709099.0,2.4,1.88,-0.52,5724.11,4.648,-0.34,1.15,6.11,12.79,11.41,3.81e-05
583207094.0,2.7,2.18,-0.52,5634.41,4.328,-0.188,7.14,26.18,31.79,9.32,3.11e-05
49504213.0,2.4,1.88,-0.52,5622.39,4.4030000000000005,0.086,3.16,17.54,22.31,-3.9,-1.3000000000000001e-05
398816143.0,1.9,2.42,0.52,5349.77,3.17,-0.138,2.61,29.17,60.69,0.72,2.4e-06
